id,service_id,customer_id,professional_id,date_of_request,date_of_completion,service_status,remarks
1,3,3,4,2025-03-25T19:23:00,2025-03-22T22:38:11.734290,closed,good
2,3,3,4,2025-04-26T06:53:00,2025-03-22T19:26:22.339533,closed,ok
3,3,3,4,2025-03-27T19:24:00,,closed,bad
4,3,3,4,2025-03-12T19:27:00,,rejected,
5,3,3,4,2025-03-15T07:07:00,,requested,
6,3,3,4,2025-04-19T07:07:00,,requested,
7,3,3,4,2025-03-29T07:23:00,,requested,
8,5,3,7,2025-03-20T09:26:00,2025-03-24T09:32:45.591237,closed,avg
9,4,3,6,2025-03-28T09:26:00,2025-03-24T09:33:05.367519,closed,excellent
10,5,3,7,2025-03-26T09:31:00,,requested,
